,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAY_HD,SO_HD,MA_NCC,TEN_NCC,QUỐC_GIA,MA_HANG,TEN_HANG,ĐVT,LOAI_TIEN,TY_GIA,SL_NHẬP,NGUYEN_GIA_TRUOC CK,NGUYEN_GIA_SAU CK,GIA_BAO_BI,GIA_TAU,TONG_TRI_GIA_HANG,HÌNH THỨC THANH TOÁN,TY_LE_COC_HD,"TIEN_COC /
KY_QUY
DU_KIEN",KEY_HD,KEY_HANG,SO_NGAY_HAN_DAT_COC,NGÀY_DỰ_KIẾN_CỌC,DA_COC_HD,COC_CON_THIEU_HD,TONG_TIEN_CON_PHAI_TT,SL_HANG_DA_VE,SL_HANG_CHUA_VE,TRI_GIA_HANG_DA_VE,COC_TRU_HANG_DA_VE,TIEN_PHAI_TT_HANG_DA_VE,TONG_TIEN_DU_TRU_7N,SO_LO_CON,CANH_BAO,GHI_CHU,COC_DU_TRU,FLAG_COC_7N,FLAG_COC_15N,FLAG_COC_30N,KEY
12/12/2025,26VL-KS-03,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50BSD,Phân bón Potas Bột 50 Đức,Tấn,USD,"  26,800 ",28,  655.00 ,  655.00 ,  -   ,  -   ,"18,340",TT,0%,-,2024.F.K+S|26VL-KS-03,2024.F.K+S|26VL-KS-03|SMH.K25.B.PT50BSD,,,-,-,"18,340",28,-,"18,340",-,"18,340",-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-03
12/12/2025,26VL-KS-04,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50BSD,Phân bón Potas Bột 50 Đức,Tấn,USD,"  26,800 ",28,  655.00 ,  655.00 ,  -   ,  -   ,"18,340",TT,0%,-,2024.F.K+S|26VL-KS-04,2024.F.K+S|26VL-KS-04|SMH.K25.B.PT50BSD,,,-,-,"18,340",28,-,"18,340",-,"18,340",-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-04
12/12/2025,26VL-KS-05,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50VSD,Phân bón Potas Viên 50 Đức,Tấn,USD,"  26,800 ",84,  665.00 ,  665.00 ,  -   ,  -   ,"55,860",TT,0%,-,2024.F.K+S|26VL-KS-05,2024.F.K+S|26VL-KS-05|SMH.K25.B.PT50VSD,,,-,-,"55,860",84,-,"55,860",-,"55,860",-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-05
12/12/2025,26VL-KS-06,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50BSD,Phân bón Potas Bột 50 Đức,Tấn,USD,"  26,800 ",56,  655.00 ,  655.00 ,  -   ,  -   ,"36,673",TT,0%,-,2024.F.K+S|26VL-KS-06,2024.F.K+S|26VL-KS-06|SMH.K25.B.PT50BSD,,,-,-,"36,673",56,-,"36,673",-,"36,673",-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-06
12/12/2025,26VL-KS-07,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50BSD,Phân bón Potas Bột 50 Đức,Tấn,USD,"  26,800 ",56,  655.00 ,  655.00 ,  -   ,  -   ,"36,680",TT,0%,-,2024.F.K+S|26VL-KS-07,2024.F.K+S|26VL-KS-07|SMH.K25.B.PT50BSD,,,-,-,"36,680",-,56,-,-,-,-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-07
12/12/2025,26VL-KS-08,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50VSD,Phân bón Potas Viên 50 Đức,Tấn,USD,"  26,800 ",84,  665.00 ,  665.00 ,  -   ,  -   ,"55,860",TT,0%,-,2024.F.K+S|26VL-KS-08,2024.F.K+S|26VL-KS-08|SMH.K25.B.PT50VSD,,,-,-,"55,860",-,84,-,-,-,-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-08
12/12/2025,26VL-KS-09,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50BSD,Phân bón Potas Bột 50 Đức,Tấn,USD,"  26,800 ",84,  655.00 ,  655.00 ,  -   ,  -   ,"55,020",TT,0%,-,2024.F.K+S|26VL-KS-09,2024.F.K+S|26VL-KS-09|SMH.K25.B.PT50BSD,,,-,-,"55,020",-,84,-,-,-,-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-09
12/12/2025,26VL-KS-10,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50VSD,Phân bón Potas Viên 50 Đức,Tấn,USD,"  26,800 ",84,  665.00 ,  665.00 ,  -   ,  -   ,"55,860",TT,0%,-,2024.F.K+S|26VL-KS-10,2024.F.K+S|26VL-KS-10|SMH.K25.B.PT50VSD,,,-,-,"55,860",-,84,-,-,-,-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-10
12/12/2025,26VL-KS-11,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50BSD,Phân bón Potas Bột 50 Đức,Tấn,USD,"  26,800 ",84,  655.00 ,  655.00 ,  -   ,  -   ,"55,020",TT,0%,-,2024.F.K+S|26VL-KS-11,2024.F.K+S|26VL-KS-11|SMH.K25.B.PT50BSD,,,-,-,"55,020",-,84,-,-,-,-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-11
12/12/2025,26VL-KS-12,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50VSD,Phân bón Potas Viên 50 Đức,Tấn,USD,"  26,800 ",84,  665.00 ,  665.00 ,  -   ,  -   ,"55,860",TT,0%,-,2024.F.K+S|26VL-KS-12,2024.F.K+S|26VL-KS-12|SMH.K25.B.PT50VSD,,,-,-,"55,860",-,84,-,-,-,-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-12
3/13/2026,26VL-KS-13,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,ZSMH.K25.B.PT50BSI,Phân bón Potas Bột 50  Indonesia,Tấn,USD,"  26,800 ",100,  630.00 ,  630.00 ,  -   ,  -   ,"63,000",TT,100%,"63,000",2024.F.K+S|26VL-KS-13,2024.F.K+S|26VL-KS-13|ZSMH.K25.B.PT50BSI,,,-,"63,000","63,000",-,100,-,-,-,-,1,CÒN CỌC CHƯA PHÂN BỔ,,"63,000",0,0,0,2024.F.K+S|26VL-KS-13
3/13/2026,26VL-KS-14,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,ZSMH.K25.B.PT50BSI,Phân bón Potas Bột 50  Indonesia,Tấn,USD,"  26,800 ",100,  630.00 ,  630.00 ,  -   ,  -   ,"63,000",TT,100%,"63,000",2024.F.K+S|26VL-KS-14,2024.F.K+S|26VL-KS-14|ZSMH.K25.B.PT50BSI,,,-,"63,000","63,000",-,100,-,-,-,-,1,CÒN CỌC CHƯA PHÂN BỔ,,"63,000",0,0,0,2024.F.K+S|26VL-KS-14
3/13/2026,26VL-KS-15,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,ZSMH.K25.B.PT50BSI,Phân bón Potas Bột 50  Indonesia,Tấn,USD,"  26,800 ",100,  630.00 ,  630.00 ,  -   ,  -   ,"63,000",TT,100%,"63,000",2024.F.K+S|26VL-KS-15,2024.F.K+S|26VL-KS-15|ZSMH.K25.B.PT50BSI,,,-,"63,000","63,000",-,100,-,-,-,-,1,CÒN CỌC CHƯA PHÂN BỔ,,"63,000",0,0,0,2024.F.K+S|26VL-KS-15
2/2/2026,25VL-TNB-01,2024.F.TECNOBELL,TECNOBELL SRL,ITALY,ZHP.K25.B.2121IY,Phân bón NPK 21.21.21 bột Ý bao 25kg,Tấn,EURO,"  32,000 ",24,"  1,330.00 ","  1,330.00 ",  -   ,  31.25 ,"31,920",TT,20%,"6,384",2024.F.TECNOBELL|25VL-TNB-01,2024.F.TECNOBELL|25VL-TNB-01|ZHP.K25.B.2121IY,,,"6,534",-,"25,386",24,-,"31,920","6,384","25,536",-,0,OK,,-,0,0,0,2024.F.TECNOBELL|25VL-TNB-01
2/2/2026,26VL-TNB-01,2024.F.TECNOBELL,TECNOBELL SRL,ITALY,ZHP.K25.B.3010IY,Phân bón NPK 30.10.10 Bột Ý bao 25Kg,Tấn,EURO,"  32,000 ",48,"  1,060.00 ",  950.00 ,  -   ,  33.33 ,"47,200",TT,20%,"9,440",2024.F.TECNOBELL|26VL-TNB-01,2024.F.TECNOBELL|26VL-TNB-01|ZHP.K25.B.3010IY,,,"9,440",-,"37,760",48,-,"47,200","9,440","37,760",-,2,OK,,-,0,0,0,2024.F.TECNOBELL|26VL-TNB-01
12/9/2025,25VL-CAD-02,2024.F.TOPFERT,"CROWN ALLIANCE DEVELOPMENT CO., LIMITED (TOP-FERT)",HONGKONG,ZSMH.K25.B.CXSC,Phân bón Canxibo Nitrat Zin hạt vàng bao 25Kg,Tấn,USD,"  26,800 ",54,  236.00 ,  236.00 ,  -   ,  -   ,"12,744",TT,0%,-,2024.F.TOPFERT|25VL-CAD-02,2024.F.TOPFERT|25VL-CAD-02|ZSMH.K25.B.CXSC,,,-,-,"12,744",54,-,"12,744",-,"12,744",-,0,OK,,-,0,0,0,2024.F.TOPFERT|25VL-CAD-02
2/10/2026,VTN10022026/PI 26-01,2024.F.TURKFER,TURKFER TARIM DIS TIC.VE SAN.A.S.,TURKEY,ZL.M500.C.CSVFLT,Phân bón Bio CSV trắng (TF) 500ML,Lít,USD,"  26,800 ","5,000",  3.50 ,  3.50 ,  -   ,  -   ,"17,500",TT,50%,"8,750",2024.F.TURKFER|VTN10022026/PI 26-01,2024.F.TURKFER|VTN10022026/PI 26-01|ZL.M500.C.CSVFLT,,,-,"8,750","17,500","5,000",-,"17,500","8,750","8,750",-,4,CÒN CỌC CHƯA PHÂN BỔ,,"8,750",0,0,0,2024.F.TURKFER|VTN10022026/PI 26-01
2/10/2026,VTN10022026/PI 26-01,2024.F.TURKFER,TURKFER TARIM DIS TIC.VE SAN.A.S.,TURKEY,ZL.M500.C.RFLT,Phân bón Bio Nanoroot (TF) 500ml,Lít,USD,"  26,800 ","2,000",  3.75 ,  3.75 ,  -   ,  -   ,"7,500",TT,0%,-,2024.F.TURKFER|VTN10022026/PI 26-01,2024.F.TURKFER|VTN10022026/PI 26-01|ZL.M500.C.RFLT,,,-,-,-,"2,000",-,"7,500",-,"7,500",-,4,OK,,-,0,0,0,2024.F.TURKFER|VTN10022026/PI 26-01
2/10/2026,VTN10022026/PI 26-01,2024.F.TURKFER,TURKFER TARIM DIS TIC.VE SAN.A.S.,TURKEY,ZL.L1.C.KFFLT,Phân bón Key Fosfit trắng KK (TF) 1L,Lít,USD,"  26,800 ","5,000",  4.00 ,  4.00 ,  -   ,  -   ,"20,000",TT,50%,"10,000",2024.F.TURKFER|VTN10022026/PI 26-01,2024.F.TURKFER|VTN10022026/PI 26-01|ZL.L1.C.KFFLT,,,-,-,-,-,"5,000",-,-,-,-,4,OK,,-,0,0,0,2024.F.TURKFER|VTN10022026/PI 26-01
2/10/2026,VTN10022026/PI 26-01,2024.F.TURKFER,TURKFER TARIM DIS TIC.VE SAN.A.S.,TURKEY,ZL.M500.C.AMIFLT,Phân bón AMINOMAX (TF) 500ml,Lít,USD,"  26,800 ","5,000",  4.25 ,  4.25 ,  -   ,  -   ,"21,250",TT,50%,"10,625",2024.F.TURKFER|VTN10022026/PI 26-01,2024.F.TURKFER|VTN10022026/PI 26-01|ZL.M500.C.AMIFLT,,,-,-,-,-,"5,000",-,-,-,-,4,OK,,-,0,0,0,2024.F.TURKFER|VTN10022026/PI 26-01
3/27/2026,26-TUR-CSV-04,2024.F.TURKFER,TURKFER TARIM DIS TIC.VE SAN.A.S.,TURKEY,ZL.L5.X.KFFLT,Phân bón Key Fosfit (TF) nhãn KEYFOS 650 xô 5L,Lít,USD,"  26,800 ","10,000",  3.50 ,  3.50 ,  -   ,  -   ,"35,000",TT,20%,"7,000",2024.F.TURKFER|26-TUR-CSV-04,2024.F.TURKFER|26-TUR-CSV-04|ZL.L5.X.KFFLT,,,"17,000",-,"18,000",-,"10,000",-,-,-,-,0,OK,,-,0,0,0,2024.F.TURKFER|26-TUR-CSV-04
3/27/2026,26-TUR-CSV-04,2024.F.TURKFER,TURKFER TARIM DIS TIC.VE SAN.A.S.,TURKEY,ZL.L5.X.KFFLT,Phân bón Key Fosfit (TF) nhãn KEYFOS 650 xô 5L,Lít,USD,"  26,800 ","4,000",  2.50 ,  2.50 ,  -   ,  -   ,"10,000",TT,100%,"10,000",2024.F.TURKFER|26-TUR-CSV-04,2024.F.TURKFER|26-TUR-CSV-04|ZL.L5.X.KFFLT,,,-,-,-,-,"4,000",-,-,-,-,0,OK,,-,0,0,0,2024.F.TURKFER|26-TUR-CSV-04
3/27/2026,26-TUR-CSV-03,2024.F.TURKFER,TURKFER TARIM DIS TIC.VE SAN.A.S.,TURKEY,ZHPZ.K25.B.ZNRT,Phân vi lượng ZNMN 25kg ( kẽm manga),Tấn,USD,"  26,800 ",24,"  1,300.00 ","  1,300.00 ",  -   ,  50.00 ,"31,200",TT,50%,"15,600",2024.F.TURKFER|26-TUR-CSV-03,2024.F.TURKFER|26-TUR-CSV-03|ZHPZ.K25.B.ZNRT,,,"15,600",-,"15,600",-,24,-,-,-,-,0,OK,,-,0,0,0,2024.F.TURKFER|26-TUR-CSV-03
